31275	Not applicable
4255	
338	Diocese of Oxford
337	Archdiocese of Birmingham
277	Archdiocese of Liverpool
270	Diocese of Salisbury
259	Diocese of Lichfield
257	Diocese of West Yorkshire and the Dales
233	Archdiocese of Westminster
226	Diocese of Bath and Wells
223	Diocese of Salford
219	Diocese of Manchester
215	Archdiocese of Southwark
208	Diocese of Blackburn
190	Diocese of Hexham and Newcastle
179	Diocese of London
179	Diocese of Lincoln
168	Diocese of Chichester
162	Diocese of Exeter
161	Diocese of Chelmsford
154	Diocese of St Albans
145	Diocese of Peterborough
143	Diocese of Norwich
143	Diocese of Liverpool
140	Diocese of Gloucester
138	Diocese of Nottingham
136	Diocese of York
133	Diocese of Shrewsbury
132	Diocese of Leicester
131	Diocese of Chester
131	Diocese of Canterbury
130	Diocese of Worcester
129	Diocese of Carlisle
127	Diocese of Leeds
118	Diocese of Derby
117	Diocese of Southwark
117	Diocese of Rochester
108	Diocese of Winchester
106	Diocese of Ely
105	Diocese of Brentwood
101	Diocese of Guildford
100	Diocese of Hereford
99	Diocese of St Edmundsbury and Ipswich
95	Diocese of Middlesbrough
94	Diocese of Coventry
89	Diocese of Southwell
88	Diocese of Lancaster
85	Diocese of Clifton
84	Diocese of Bristol
78	Diocese of Birmingham
77	Diocese of Durham
75	Diocese of Hallam
72	Diocese of Plymouth
69	Diocese of Truro
67	Diocese of Portsmouth (rc)
66	Diocese of Northampton
66	Diocese of Arundel and Brighton
59	Diocese of Sheffield
54	Diocese of Portsmouth (ce)
53	Diocese of Newcastle
35	Diocese of East Anglia
30	Diocese of Wakefield
11	Diocese of Bradford
10	Diocese of Ripon
8	Diocese is not trustees
4	Archdiocese of Cardiff
1	Diocese of Shrewsbury/Diocese of Chester
