18097	Urban city and town
13409	Urban major conurbation
3715	Rural town and fringe
3239	Rural village
1746	Rural hamlet and isolated dwellings
1507	Urban minor conurbation
1354	
409	Rural village in a sparse setting
307	Rural hamlet and isolated dwellings in a sparse setting
288	Rural town and fringe in a sparse setting
132	Postcode in NI/Channel Is/IoM (pseudo)
99	Urban city and town in a sparse setting
3	Other urban area (Scotland)
3	Large urban area (Scotland)
1	Remote small town (Scotland)
1	Remote rural (Scotland)
1	Accessible rural (Scotland)
