address	parent-address	primary-address	street	name	name-cy	point	end-date
10DP3R			21000432	60 ARK CONWAY PRIMARY ACADEMY		[51.5138073,-0.2425335]	
10DQCK			21000551	OLD OAK PRIMARY SCHOOL		[51.518017,-0.2438127]	
10DQQ0			21000478	237 LATYMER UPPER SCHOOL		[51.4927365,-0.2370634]	
10DQQP			21000456	GODOLPHIN AND LATYMER SCHOOL		[51.4953087,-0.2299193]	
10DSFW			21000258	FLORA GARDENS PRIMARY SCHOOL		[51.4948348,-0.2354697]	
10DSFX			21000180	WEST LONDON FREE SCHOOL		[51.4954705,-0.2311088]	
10DSQQ			21000673	16		[51.4941058,-0.2384223]	
10DV20			21000527	MACBETH CENTRE		[51.4918959,-0.2314057]	
10DYZH			21000876	GREENSIDE PRIMARY SCHOOL		[51.5034592,-0.2372978]	
10E0H2			21000622	JOHN BETTS PRIMARY SCHOOL		[51.4968255,-0.2356954]	
10E0ZK			21000816	PHOENIX HIGH SCHOOL		[51.5131619,-0.2378744]	
10E1NA			21000069	1 QUEENSMILL SCHOOL		[51.5070639,-0.2426057]	
10E317			21000168	61 CAMBRIDGE SCHOOL		[51.512132,-0.2369629]	
10E5TT			21000232	POPE JOHN SCHOOL		[51.5122207,-0.2326936]	
10E5TV			21000077	RANDOLPH BERESFORD CENTRE		[51.5108404,-0.2324011]	
10E6P8			21000894	BURLINGTON DANES SCHOOL		[51.5189226,-0.2298683]	
10E7EP			21000113	ARK BENTWORTH PRIMARY ACADEMY		[51.515326,-0.232285]	
10E7GS			21000839	KENMONT PRIMARY SCHOOL		[51.5317013,-0.2346637]	
10EB59			21000356	160		[51.4864704,-0.2211011]	
10ECGW			21000525	QUEENS MANOR PRIMARY SCHOOL		[51.4798439,-0.221762]	
10ED3G			21000161	ST PAULS GIRLS SCHOOL		[51.4951319,-0.2188333]	
10EDQ4			21000411	212 SACRED HEART HIGH SCHOOL		[51.4935725,-0.2233311]	
10EEK0			21000522	BUTE HOUSE PREPARATORY SCHOOL		[51.4958154,-0.2218032]	
10EGPK			21000899	ST PAULS PRIMARY SCHOOL		[51.4906361,-0.2271762]	
10EGVV			21000161	41A LARMENIER AND SACRED HEART CATHOLIC PRIMARY SCHOOL		[51.494411,-0.2175504]	
10EN2A			21000029	ADDISON PRIMARY SCHOOL		[51.4998136,-0.2191981]	
10EPYZ			21000502	LENA GARDENS PRIMARY SCHOOL		[51.4989279,-0.2248372]	
10ESQ3			21000835	41 ST STEPHENS HOUSE		[51.5057178,-0.228435]	
10EVAE			21001190	7		[51.4765624,-0.2017575]	
10EVD6			21000359	596 KENSINGTON PREPARATORY SCHOOL		[51.4773605,-0.2022013]	
10F06V			21000481	FULHAM COLLEGE BOYS		[51.4777839,-0.2152032]	
10F07J			21000580	159		[51.477742,-0.210683]	
10F1SD			21000393	200		[51.4864057,-0.2097535]	
10F4AR			21001119	50 BAYONNE NURSERY SCHOOL		[51.4844086,-0.2144262]	
10F4AT			21000275	ST AUGUSTINES PRIMARY SCHOOL		[51.484281,-0.2095918]	
10F8FV			21000509	SIR JOHN LILLIE PRIMARY SCHOOL		[51.4830672,-0.2096105]	
10F9HY			21000320	ST THOMAS OF CANTERBURY RC PRIMARY SCHOOL		[51.4813414,-0.2073017]	
10FF6D			21000377	JAMES LEE NURSERY SCHOOL		[51.4922289,-0.2136165]	
10FFJY			21000290	ST JAMES INDEPENDENT SCHOOLS		[51.4948973,-0.2093342]	
10FHCC			21000641	HURLINGHAM AND CHELSEA SCHOOL		[51.4678217,-0.1965002]	
10FK6S			21000426	2 L'ECOLES DES PETITS SCHOOL		[51.4720715,-0.191005]	
10FMB3			21000369	LANGFORD PRIMARY SCHOOL		[51.4726947,-0.1888492]	
10FNVG			21000218	MARIE D'ORLIAC		[51.4710204,-0.1957406]	
10FNX8			21000628	9-15 LADY MARGARET SECONDARY SCHOOL FOR GIRLS		[51.4741825,-0.199619]	
10FQBZ			21000720	LONDON ORATORY SCHOOL		[51.481926,-0.193827]	
10FSA8			21000403	FULHAM PRIMARY SCHOOL		[51.4835362,-0.1979547]	
10GVYB	10F07J	10F07J	21000580	BASEMENT		[51.477742,-0.210683]	
10GVYM			21000122	ALL SAINTS SCHOOL		[51.4728586,-0.2136099]	
10GXN3			21000580	FULHAM CROSS SCHOOL		[51.4813744,-0.2141846]	
10H4C0			21000191	14 VANESSA NURSERY SCHOOL		[51.5019319,-0.234403]	
10H5S8	10ESQ3	10ESQ3	21000835	FIRST FLOOR LEFT AND FIRST FLOOR RIGHT FRONT		[51.5057178,-0.228435]	
10H6VX			21000589	NEW KINGS PRIMARY SCHOOL		[51.4720861,-0.2054181]	
10H7DB			21000641	42 SULIVAN PRIMARY SCHOOL		[51.4706458,-0.1994558]	
10H7SP			21000331	ST MARYS RC PRIMARY SCHOOL		[51.4981337,-0.2163534]	
10H8D7			21000338	ST JOHNS C OF E PRIMARY SCHOOL		[51.4769719,-0.209129]	
10H8PS			21000753	WILLIAM MORRIS SIXTH FORM		[51.4895341,-0.219138]	
10H96Z			21000258	207 BRACKENBURY PRIMARY SCHOOL		[51.4998938,-0.2328249]	
10HA1V			21000241	MILES COVERDALE PRIMARY SCHOOL		[51.5041138,-0.2288143]	
10HB9H			21000168	37 WORMHOLT PARK PRIMARY SCHOOL		[51.5116729,-0.2387245]	
10HCG1			21000793	WENDELL PARK PRIMARY SCHOOL		[51.5033191,-0.2489601]	
10HCG4			21000368	THE GOOD SHEPHERD R C PRIMARY SCHOOL		[51.5026342,-0.2452545]	
10HGQW			21000077	WHITE CITY DAY NURSERY		[51.511994,-0.2295894]	
10HJX9			21000094	HOLY CROSS RC SCHOOL		[51.4757766,-0.1986059]	
10HKK2			21000122	THE MOAT SCHOOL		[51.4726418,-0.2147271]	
10HP0T			21000834	36 LATYMER PREPARATORY SCHOOL RIVERCOURT HOUSE		[51.4906064,-0.2365406]	
10HP49			21000359	517-523		[51.4801439,-0.192558]	
10HQTM			21000161	69-70		[51.4963406,-0.2190743]	
10HREE	10DP3R		21000432	EARLY YEARS ADVISORY TEAM		[51.5138073,-0.2425335]	
10HRG2			21000761	1 ST PETER'S CHURCH OF ENGLAND PRIMARY SCHOOL		[51.4919602,-0.2422649]	
10HRTM			21000144	NORMAND CROFT COMMUNITY SCHOOL		[51.4850592,-0.2040305]	
10HTCZ			21000741	JACK TIZARD SCHOOL		[51.5093652,-0.2335679]	
10HTD3			21000340	BRIDGE ACADEMY		[51.4757704,-0.2194003]	
10HW8G			21000449	49 THOMAS'S DAY SCHOOL		[51.4669413,-0.1926464]	
10HWFP			21000170	27		[51.5053421,-0.2238097]	
10HXH7			21000377	EALING HAMMERSMITH AND WEST LONDON COLLEGE		[51.4918661,-0.2140052]	
10J2ZE			21000191	25 HAMMERSMITH ACADEMY		[51.5021109,-0.2361396]	
10J4GE			21000578	11 FULHAM BOYS SCHOOL		[51.4895955,-0.2031176]	
10V5			4553982	BEGBROOK PRIMARY SCHOOL		[51.4874959,-2.5367243]	
11W			4558664	BRENTRY PRIMARY SCHOOL		[51.5129332,-2.6102293]	
12AMTB			1900209	GEORGE HASTWELL SCHOOL		[54.1067274,-3.2576147]	
12AP0V			1900108	NORTH WALNEY PRIMARY SCHOOL		[54.1123137,-3.2605988]	
12ARHH			1900081	ST COLUMBAS ROMAN CATHOLIC SCHOOL		[54.1061154,-3.2507898]	
12ARHJ			1900031	SOUTH WALNEY INFANT SCHOOL		[54.1027169,-3.2500297]	
12ARHN			1900204	SOUTH WALNEY JUNIOR SCHOOL		[54.1022599,-3.2481654]	2014-12-02
12ATTE			1900289	BARROW ISLAND COMMUNITY PRIMARY SCHOOL		[54.1043449,-3.2298593]	
12AV18			1900165	BRAM LONGSTAFFE NURSERY SCHOOL		[54.1043614,-3.2291256]	
12AWFA			1900053	BRISBANE PARK INFANTS SCHOOL		[54.1179869,-3.2352973]	
12AXSD			1900046	HINDPOOL NURSERY SCHOOL		[54.1189166,-3.2366561]	
12AZX8			1900644	ST PIUS X ROMAN CATHOLIC SCHOOL		[54.1320502,-3.2347367]	
12AZX9			1900615	ORMSGILL PRIMARY SCHOOL		[54.1356626,-3.2295485]	
12B1FM			1900395	SACRED HEART ROMAN CATHOLIC PRIMARY SCHOOL		[54.1103907,-3.2142522]	
12B1H7			1900502	ST GEORGES CHURCH OF ENGLAND PRIMARY SCHOOL AND NURSERY		[54.1089454,-3.2194106]	
12B2JM			1900406	GREENGATE INFANTS SCHOOL		[54.1148889,-3.2120585]	
12B3V3			1900406	GREENGATE JUNIOR SCHOOL		[54.1125994,-3.2198086]	
12B3V4			1900528	RAMSDEN INFANT SCHOOL		[54.1156892,-3.2226686]	
12B7FE			1900897	VICTORIA INFANT AND NURSERY SCHOOL		[54.1264405,-3.2189763]	
12B7FG			1900573	VICTORIA JUNIOR SCHOOL		[54.1278225,-3.2227356]	
12B8HQ			1900798	ST PAULS CHURCH OF ENGLAND JUNIOR SCHOOL		[54.1300982,-3.2145845]	
12B9B8			1900948	DANE GHYLL PRIMARY SCHOOL		[54.1390773,-3.2110208]	
12BDF4			1902326	NEWBARNS PRIMARY SCHOOL		[54.1231617,-3.2045272]	
12BDFW			1901591	HOLY FAMILY ROMAN CATHOLIC SCHOOL		[54.1254654,-3.2069354]	
12BDGZ			1901413	OUR LADYS CHETWYNDE SCHOOL		[54.1320097,-3.2041568]	
12BDR1			1901413	ST BERNARDS ROMAN CATHOLIC SCHOOL		[54.1299244,-3.2005611]	
12BF61			1901059	ASKAM VILLAGE SCHOOL		[54.1846784,-3.2060877]	
12BGC2			1900461	ROOSE SCHOOL		[54.1142488,-3.1879454]	
12BGWN			1900489	YARLSIDE SCHOOL		[54.1217409,-3.1883283]	
12BHQ5			1900885	DOWDALES SECONDARY SCHOOL		[54.1591707,-3.1843331]	
12BJEP			1901063	ST PETERS CHURCH OF ENGLAND SCHOOL		[54.1890919,-3.191611]	
12BJP8			1902755	NEWTON SCHOOL		[54.1338186,-3.1794302]	
12BKCT			1900734	DALTON ST MARYS CHURCH OF ENGLAND SCHOOL		[54.1507897,-3.1792703]	
12BMRA			1900719	CHAPEL STREET INFANT SCHOOL		[54.1584654,-3.1783556]	
12BMRB			1900729	GEORGE ROMNEY JUNIOR SCHOOL		[54.1602165,-3.1803505]	
12BMRD			1902792	OUR LADY OF THE ROSARY ROMAN CATHOLIC SCHOOL		[54.1601607,-3.1704248]	
12BN7V			1901068	LINDAL AND MARTON PRIMARY SCHOOL		[54.176916,-3.1525593]	
