academy-school-eng	school-type	academy-trust	school-trust-join-date	academy-sponsor
101857	28	company:07007398	2016-01-03	The Dioceses of Liverpool Joint Catholic and Church of England Academy Trust
105135	28	company:05210075		Archdiocese of Southwark
128340	28	company:04915796		Roger De Haan
128364	28	company:07365748	2016-01-01	Tudor Grange Academies Trust
129342	28	company:04967658	2006-01-09	Grace Foundation
130247	28	company:05319170		Sir John Madejski
130908	28	company:02236171		Macmillan Academy
130909	28	company:02303464	2005-01-09	Dixons Academy Trust
130912	28	company:04439859	2006-01-09	United Learning
131062	28	company:05342164		Jack Petchey
131065	28	company:05067702	2006-01-09	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
131262	28	company:05102934		Exilarch's Foundation
131609	28			UBS
131747	28	company:06228587	2006-01-09	Harris Federation
131749	28	company:04439859	2006-01-09	United Learning
131752	28	company:05112090	2006-01-09	ARK Schools
131895	28	company:04439859	2006-01-09	United Learning
131896	28	company:04439859	2006-01-09	United Learning
131897	28	company:06228587	2006-01-09	Harris Federation
131898	28	company:05037949	2006-01-09	Leaf Trust
132711	28	company:06228587	2006-01-09	Harris Federation
132727	28	company:04439859	2006-01-09	United Learning
133114	28	company:05853746	2006-01-09	Gateway Academy Trust
133386	28	company:04220486		This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
133697	28	company:04251277		This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
133768	28	company:04357009		Academies Enterprise Trust (AET)
133769	28	company:04701198		The Garrard Family Foundation
134003	28	company:07468210	2006-01-09	CfBT Education Trust
134221	28	company:06207590	2016-01-06	Cabot Learning Federation
134222	28	company:04504128	2003-01-09	City of London Corporation
134223	28	company:04418245		Emmanuel Schools Foundation
134224	28	company:04439859	2003-01-09	United Learning
134225	28	company:06228587	2003-03-06	Harris Federation
134226	28			Sir Frank Lowe
134253	28	company:04544722	2003-01-09	Djanogly Learning Trust
