la-maintained-school-eng	school-type	foundation-trust	school-federation
100000	2		
100004	15		
100005	15		
100006	14		
100007	14		
100008	1		
100009	1		
100010	1		
100011	1		
100012	1		
100013	1		
100014	1		
100015	1		
100016	1		
100017	1		
100018	1		
100019	1		
100020	1		
100021	1		
100022	1		
100023	1		
100024	1		
100025	1		
100026	1		
100027	1		
100028	2		
100029	2		
100030	2		
100031	2		
100032	2		
100033	2		
100034	2		
100035	2		
100036	2		
100037	2		
100038	2		
100039	2		
100040	2		
100041	2		
100042	2		
100043	2		
100044	2		
100045	2		
100046	2		
100047	2		
100048	2		
100049	1		
100050	1		
100051	1		
100052	1		
100053	1		
100054	2		
100055	2		
100056	2		
100057	2		
100059	2		
100060	12		
100091	7		
100092	7		
100093	7		
100094	7		
100095	7		
100096	7		
100097	15		
100098	15		
100099	15		
100100	15		
100101	15		
100102	15		
100103	14		
100104	14		
100105	14		
100106	14		
100107	14		
100108	14		
100109	1		
100110	1		
100111	1		
100112	1		
100113	1		
100114	1		
100115	1		
100116	1		
100117	1		
100118	1		
100119	1		
100120	1		
100121	1		
100122	1		
100123	1		
100124	1		
100125	1		
100126	1		
100127	1		
100128	1		
100129	1		
100130	1		
100131	1		
100132	1		
100133	1		
100134	1		
100135	1		
100136	1		
100137	1		
100138	1		
100139	1		
100140	1		
100141	1		
100142	1		
100143	1		
100144	1		
100145	1		
100146	1		
100147	1		
100148	1		
100149	1		
100150	1		
100151	1		
100152	1		
100153	1		
100154	1		
100155	1		
100156	1		
100157	1		
100158	1		
100159	1		
100160	1		
100161	1		
100162	1		
100163	1		
100164	1		
100165	2		Koinonia Federation
100166	2		
100167	2		
100168	2		
100169	2		
100170	2		
100171	2		Koinonia Federation
100172	2		
100173	2		
100174	2		
100175	2		
100176	2		
100177	2		
100178	2		
100179	2		
100180	2		
100181	2		
100182	1		
100183	1		
100184	1		
100185	1		
100186	1		
100187	1		
100188	5	Eltham Green School Trust	
100189	1		
100190	1		
100191	1		
100192	3		
100193	2		
100194	2		
100195	2		
100196	2		
100197	5		
100204	7		
100205	7		
100206	7		
100207	7		
100208	7		
100209	7		
100210	7		
100211	7		
100212	15		
100213	15		
100214	14		
100215	14		
100216	1		
100217	1		
100218	1		
100219	1		
100220	1		
100221	1		
100222	1		
100223	1		
100224	1		
100225	1		
100226	1		
100227	1		
100228	1		
100229	1		
100230	1		
100231	1		
100232	1		The Primary Advantage Federation
100233	1		
100234	1		The Viridis Federation of Orchard, Southwold & Hoxton Garden Primary Schools
100235	1		
100236	1		
100237	1		
