religious-charactername	start-date	end-date
A1	Baha'i		
B1	Buddhist		
B2	Mahayana Buddhist		
B3	New Kadampa Tradition Buddhist		
B4	Nichiren Buddhist		
B5	Pure Land Buddhist		
B6	Theravada Buddhist		
B7	Tibetan Buddhist		
B8	Zen Buddhist		
C1	Christian		
C2	Amish		
C3	Anabaptist		
C4	Anglican		
C5	Apostolic Pentecostalist		
C6	Armenian Catholic		
C7	Armenian Orthodox		
C8	Baptist		
C8r	Reformed Baptist		
C9	Brethren		
C10	Bulgarian Orthodox		
C11	Calvinist		
C12	Catholic		
C13	Celtic Christian		
C14	Celtic Orthodox Christian		
C15	Chinese Evangelical Christian		
C16	Christadelphian		
C17	Christian Existentialist		
C18	Christian Humanist		
C19	Christian Science		
C20	Christian Spiritualist		
C21	Church in Wales		
C22	Church of England		
C23	Church of God of Prophecy		
C24	Church of Ireland		
C25	Church of Scotland		
C26	Congregational		
C27	Coptic Orthodox		
C28	Eastern Catholic		
C29	Eastern Orthodox		
C30	Elim Pentecostalist		
C31	Ethiopian Orthodox		
C32	Evangelical		
C33	Exclusive Brethren		
C34	Free Church		
C35	Free Church of Scotland		
C36	Free Evangelical Presbyterian		
C37	Free Methodist		
C38	Free Presbyterian		
C39	French Protestant		
C40	Greek Catholic		
C41	Greek Orthodox		
C42	Independent Methodist		
C43	Indian Orthodox		
C44	Jehovah's Witness		
C45	Judaic Christian		
C46	Lutheran		
C47	Mennonite		
C48	Messianic Jew		
C49	Methodist		
C50	Moravian		
C51	Mormon		
C52	Nazarene Church		
C53	New Testament Pentacostalist		
C54	Nonconformist		
C55	Old Catholic		
C56	Open Brethren		
C57	Orthodox Christian		
C58	Pentecostalist		
C59	Presbyterian		
C60	Protestant		
C61	Plymouth Brethren		
C62	Quaker		
C63	Rastafari		
C64	Reformed Christian		
C65	Reformed Presbyterian		
C66	Reformed Protestant		
C67	Roman Catholic		
C68	Romanian Orthodox		
C69	Russian Orthodox		
C70	Salvation Army Member		
C71	Scottish Episcopalian		
C72	Serbian Orthodox		
C73	Seventh Day Adventist		
C74	Syrian Orthodox		
C75	Ukrainian Catholic		
C76	Ukrainian Orthodox		
C77	Uniate Catholic		
C78	Unitarian		
C79	United Reform		
C80	Zwinglian		
C1c	Non-denominational		
D1	Hindu		
D2	Advaitin Hindu		
D3	Arya Samaj Hindu		
D4	Shakti Hindu		
D5	Shiva Hindu		
D6	Vaishnava Hindu		
E1	Jain		
F1	Jewish		
F1c	Charadi Jewish		
F2	Ashkenazi Jew		
F3	Haredi Jew		
F4	Hasidic Jew		
F5	Liberal Jew		
F6	Masorti Jew		
F7	Orthodox Jew		
F8	Reform Jew		
G1	Islam		
G2	Ahmadi		
G3	Druze		
G4	Ismaili Muslim		
G5	Shi'ite Muslim		
G6	Sunni Deobandi		
H1	Pagan		
H2	Asatruar		
H3	Celtic Pagan		
H4	Druid		
H5	Goddess		
H6	Heathen		
H7	Occultist		
H8	Shaman		
H9	Wiccan		
I1	Sikh		
J1	Zoroastrian		
K1	Agnostic		
K2	Ancestral Worship		
K3	Animist		
K4	Anthroposophist		
K5	Black Magic		
K6	Brahma Kumari		
K7	British Israelite		
K8	Chondogyo		
K9	Confucianist		
K10	Deist		
K11	Humanist		
K12	Infinite Way		
K13	Kabbalist		
K14	Lightworker		
K15	New Age Practitioner		
K16	Native American Religion		
K17	Pantheist		
K18	Peyotist		
K19	Radha Soami		
K20	Other (Not Listed)		
K20a	Multi-faith		
K21	Santeri		
K22	Satanist		
K23	Scientologist		
K24	Secularist		
K25	Shumei		
K26	Shinto		
K27	Spiritualist		
K28	Swedenborgian		
K29	Taoist		
K30	Unitarian-Universalist		
K31	Universalist		
K32	Vodun		
k33	Yoruba		
L1	Atheist		
L2	Not Religious		
