school-eng	name	address	minimum-age	maximum-age	school-capacity	headteacher	school-type	start-date	end-date
102256	Purcell School	10034170930	8	19	186	Mr Stephen Yeo	Independent School	1962-10-11	
117065	Weston Way Nursery School	100081259518	3	5		Ms Jane Millett	Local authority maintained		
117066	Arlesdene Nursery School and Pre-School	148007372	2	5		Mrs Catherine Croft	Local authority maintained		
117067	Greenfield Nursery School	148006266	2	4		Mrs Deborah Harrison	Local authority maintained		
117068	Batford Nursery School	100081155816	2	5		Mrs Sue Mansfield	Local authority maintained		
117069	Birchwood Nursery School	100081150976	2	5		Mrs Kathryn Evans	Local authority maintained		
117070	Heath Lane Nursery School	10023960237	3	5		Mrs Pauline Kirtley	Local authority maintained		
117071	York Road Nursery School	100081256773	3	5		Mrs Helen Griffiths	Local authority maintained		
117072	Rye Park Nursery School	148030347	2	5		Mrs Helen Ackerman	Local authority maintained		
117073	Nevells Road Nursery School	10070041838	3	5		Mrs M J Tyler	Local authority maintained		2001-12-31
117074	Muriel Green Nursery School	100080856168	3	5		Mrs B Snijder	Local authority maintained		2001-01-01
117075	London Colney Nursery School	100081151645	3	5		Ms Barbara Fitton	Local authority maintained		2015-03-31
117076	Kingswood Nursery School	100081287644	2	5		Mrs Bernice Jackson	Local authority maintained		
117077	Oxhey Early Years Centre	100081283739	3	5		Mrs Rachel Fagan	Local authority maintained		
117078	Tenterfield Nursery School	100081156258	3	5		Mrs Megan Wilcox	Local authority maintained		
117079	Ludwick Nursery School	100081157205	2	5		Mrs Karen James	Local authority maintained		
117080	Peartree Way Nursery School	10070251539	2	5		Mrs Deborah Willcox	Local authority maintained		
117081	Wall Hall Nursery School	10034171148	3	5		Ms Cynthia Willey	Local authority maintained		2003-12-31
117082	Lea Valley Education Support Centre	10012155244	5	16		Mrs A Brown	Local authority maintained	1995-09-01	2009-08-31
117083	Abbots Langley School	200000937663	3	11	540	Mr Roger Billing	Local authority maintained		
117084	Ashwell Primary School	10070035441	3	11	266	Mrs Lisa Hall	Local authority maintained		
117085	Northgate Primary School	100081159200	3	11	420	Mrs Deirdre Glasgow	Local authority maintained		2012-07-31
117086	Bovingdon Junior School	100081182459	7	11			Local authority maintained		1998-09-01
117087	Jenyns First School and Nursery	10033092014	3	9	90	Mrs Sandra Morris	Local authority maintained		
117088	Bushey Heath Primary School	10034170765	3	11	210	Ms Penny Barefoot	Local authority maintained		
117089	Highwood Primary School	10034170892	3	11	420	Della Allen	Local authority maintained		
117090	Merry Hill Infant School and Nursery	10034170817	3	7	180	Mrs Melissa Regnier	Local authority maintained		
117091	Holdbrook Primary School	148013810	3	11	210	Mr Nick Heald	Local authority maintained		
117092	Four Swannes Primary School	148013809	3	11	210	Mrs G E Jones	Local authority maintained		
117093	Chorleywood Primary School	200000939671	3	11	240	Mrs Rebecca Roberts	Local authority maintained		
117094	Beechfield School	10002003664	3	11	450	Mr James Roach	Local authority maintained		
117095	New Briars Primary and Nursery School	100081151536	3	11	210	Miss Helen Turner	Local authority maintained		2007-08-31
117096	Shepherd Primary	200000939120	3	11	420	Mrs Claire Foad	Local authority maintained		
117097	Hobletts Manor Junior School	200001052046	7	11	240	Mrs Sally Short	Local authority maintained		
117098	The Russell School	200000939305	3	11	210	Mrs Claire Pitt	Local authority maintained		
117099	Cowley Hill School	10034169917	3	11	465	Jon Hood	Local authority maintained		
117100	Flamstead Village School	100081154151	3	11	120	Ms Sarah Jones	Local authority maintained		
117101	Gaddesden Row JMI School	10002013009	4	11	56	Mr Nick Read	Local authority maintained		
117102	Sauncey Wood Primary School	200001850464	4	11	210	Mr Steven Lloyd	Local authority maintained		
117103	Manland Primary School	100081155506	4	11	240	Miss Melanie Smith	Local authority maintained		
117104	Gascoyne Cecil Junior School	100081151132	7	11		Mr D Petherick	Local authority maintained		1999-09-01
117105	Green Lanes Primary School	100081151541	5	11	420	Michele Johnson	Local authority maintained		
117106	George Street Primary School	200004058346	3	11	210	Mrs Heather Freeman	Local authority maintained		
117107	Boxmoor Primary School	200004058082	4	11	240	Mrs Vicky Campos	Local authority maintained		
117108	Two Waters Primary School	100081182659	3	11	240	Mr Tim Gately	Local authority maintained		
117109	Tudor Primary School	100081183176	3	11	420	Mr Rob Weightman	Local authority maintained		
117110	South Hill Primary School	10002012594	5	11	330	Mr David Smith	Local authority maintained		
117111	Abel Smith School	10033098601	2	11	210	Mrs Gillian Langan	Local authority maintained		
117112	Hexton Junior Mixed and Infant School	10070034762	4	11	70	Mrs Joanne Webb	Local authority maintained		
117113	Highbury Infant School and Nursery	100081256104	3	7	180	Mrs Helen Avey	Local authority maintained		
117114	Strathmore Infant and Nursery School	200001853410	3	7	189	Mrs Bernadette Holmes	Local authority maintained		
117115	Highover Junior Mixed and Infant School	100081255169	3	11	402	Mrs Lisa Hayes	Local authority maintained		
117116	Wilshere-Dacre Junior School	10070041104	7	11	230	Mrs Susan Sheffield	Local authority maintained		2014-02-28
117117	Hunsdon Junior Mixed and Infant School	10033099083	4	11	105	Mr Jonathan Millward	Local authority maintained		
117118	Kimpton Primary School	100081255747	3	11	210	Mrs Tracy Clements	Local authority maintained		
117119	Breachwood Green Junior Mixed and Infant School	10070036889	4	11	111	Mrs Rosemarie Bethel	Local authority maintained		
117120	Knebworth Primary and Nursery School	10070036352	3	11	420	Michael John	Local authority maintained		
117121	Wilbury Junior School	100081258636	7	11	320	Miss Ellie Shaw	Local authority maintained		
117122	Grange Junior School	100081258845	7	11	240	Miss Zoe Mathie	Local authority maintained		
117123	Hillshott Infant School and Nursery	100081257857	3	7	180	Mrs Lucy Leighton	Local authority maintained		
117124	Westbury Primary and Nursery School	10070042203	3	11	180	Mrs Anna Marshall	Local authority maintained		2009-08-31
117125	Hertford Heath Primary and Nursery School	10033091114	3	11	230	Mrs Janice Smith	Local authority maintained		
117126	Little Hadham Primary School	10033100532	4	11	140	Mrs Elizabeth Stockley	Local authority maintained		
117127	Markyate Village School and Nursery	200004057882	4	11	315	Miss Sally Esom	Local authority maintained		
117128	Pirton School	200001853414	4	11	147	Mrs Joanne Webb	Local authority maintained		
117129	Reed First School	100081260160	3	9	60	Mrs Jackie Harvey	Local authority maintained		
117130	Yorke Mead Primary School	200000941869	3	11	390	Ms Lucille Pollard	Local authority maintained		
117131	Harvey Road Primary School	200000939816	3	11	210	Mr Nick Rowlands	Local authority maintained		
117132	Little Green Junior School	200000939818	7	11	360	Mrs Janice Tearle	Local authority maintained		
117133	Malvern Way Infant and Nursery School	200000939830	3	7	270	Mrs Emma Cole	Local authority maintained		
117134	Tannery Drift School	100081259860	3	9	229	Mrs Anna Greetham	Local authority maintained		
117135	Bernards Heath Infant and Nursery School	100081150640	3	7	240	Mrs Hannah Rimmer	Local authority maintained		
117136	Camp Primary and Nursery School	200003636631	3	11	210	Mrs Sharon Barton	Local authority maintained		
117137	Fleetville Junior School	200003633155	7	11	403	Mr J Loukes	Local authority maintained	1997-02-26	2012-05-31
117138	Fleetville Infant and Nursery School	100081150520	3	7	255	Mrs Androulla Peek	Local authority maintained	1996-06-05	2012-05-31
