street	name	name-cy	place	street-custodian	point	end-date
10300162	ACORN ROAD			1910	[-0.4500,51.7500]	
10300195	ADEYFIELD ROAD			1910	[-0.4600,51.7600]	
10300846	AYCLIFFE DRIVE			1910	[-0.4600,51.7700]	
10300853	AYLESBURY ROAD			1910	[-0.6900,51.7900]	
10301109	BARNFIELD			1910	[-0.4600,51.7400]	
10301442	BELSWAINS LANE			1910	[-0.4700,51.7350]	
10301478	BENNETTS END ROAD			1910	[-0.4500,51.7450]	
10301576	BETTYS LANE			1910	[-0.6600,51.8000]	
10301959	BOX LANE			1910	[-0.5200,51.7300]	
10301968	BOXTED ROAD			1910	[-0.5100,51.7600]	
10302195	BRIDLE WAY			1910	[-0.5800,51.7700]	
10302264	BROADFIELD ROAD			1910	[-0.4600,51.7550]	
10302566	BUNKERS LANE			1910	[-0.4500,51.7300]	
10302828	CAMBRIAN WAY			1910	[-0.4600,51.7650]	
10303263	CAVENDISH ROAD			1910	[-0.4651,51.8377]	
10303628	CHESHAM ROAD			1910	[-0.5800,51.7500]	
10303775	CHRISTCHURCH ROAD			1910	[-0.6700,51.7950]	
10303866	CHURCH MEADOW			1910	[-0.5100,51.7900]	
10303875	CHURCH ROAD			1910	[-0.5600,51.8100]	
10303887	CHURCH ROAD			1910	[-0.5300,51.7700]	
10304106	CLOVER WAY			1910	[-0.4800,51.7600]	
10304290	COMMON FIELD			1910	[-0.6400,51.7800]	
10304298	COMMON LANE			1910	[-0.4600,51.7150]	
10304556	COWPER ROAD			1910	[-0.4900,51.7500]	
10304758	CROSSWAYS			1910	[-0.5800,51.7600]	
10305194	DOCTORS COMMONS ROAD			1910	[-0.5700,51.7600]	
10305424	DURRANTS LANE			1910	[-0.5900,51.7600]	
10306252	FLETCHER WAY			1910	[-0.4700,51.7600]	
10306486	FROGMORE STREET			1910	[-0.6600,51.7950]	
10306633	GADDESDEN ROW			1910	[-0.4900,51.8000]	
10306646	GADEBRIDGE ROAD			1910	[-0.4900,51.7600]	
10306656	GALLEY HILL			1910	[-0.5000,51.7600]	
10306783	GEORGE STREET			1910	[-0.5600,51.7600]	
10307248	GREEN END ROAD			1910	[-0.4900,51.7500]	
10307271	GREEN LANE			1910	[-0.4300,51.7500]	
10307360	GREENWAY			1910	[-0.5800,51.7600]	
10307457	GROVE ROAD			1910	[-0.6550,51.8050]	
10308045	HAZELDELL ROAD			1910	[-0.5000,51.7500]	
10308081	HEATH LANE			1910	[-0.4800,51.7500]	
10308428	HIGH STREET			1910	[-0.5300,51.7200]	
10308525	HILL COMMON			1910	[-0.4500,51.7400]	
10308809	HOLLYBUSH LANE			1910	[-0.5000,51.7600]	
10309316	JUPITER DRIVE			1910	[-0.4550,51.7600]	
10309559	KINGS ROAD			1910	[-0.5750,51.7550]	
10309831	LANGLEY HILL			1910	[-0.4600,51.7100]	
10310204	LIME WALK			1910	[-0.4600,51.7450]	
10310402	LOCKERS PARK LANE			1910	[-0.4800,51.7500]	
10310457	LONDON ROAD			1910	[-0.4900,51.7400]	
10310574	LONGLANDS			1910	[-0.4500,51.7550]	
10310627	LOVE LANE			1910	[-0.4600,51.7150]	
10310942	MALMES CROFT			1910	[-0.4400,51.7500]	
10311062	MANSION DRIVE			1910	[-0.6600,51.7900]	
10311907	MORTIMER HILL			1910	[-0.6600,51.8000]	
10312169	NEW ROAD			1910	[-0.5900,51.7700]	
10312706	OLD CRABTREE LANE			1910	[-0.4600,51.7500]	
10312817	OLIVER ROAD			1910	[-0.4600,51.7400]	
10313295	PARK VIEW ROAD			1910	[-0.5700,51.7600]	
10313441	PEASCROFT ROAD			1910	[-0.4500,51.7400]	
10313909	PRINCE EDWARD STREET			1910	[-0.5600,51.7600]	
10314309	REDWOOD DRIVE			1910	[-0.4600,51.7500]	
10314858	RUMBALLS ROAD			1910	[-0.4500,51.7400]	
