location	point
school:100000	[51.51397,-0.07753]
school:100001	[51.51915,-0.09457]
school:100002	[51.51383,-0.09682]
school:100003	[51.51112,-0.09951]
school:100004	[51.54809,-0.14796]
school:100005	[51.52548,-0.12078]
school:100006	[51.55376,-0.16002]
school:100007	[51.52772,-0.14062]
school:100008	[51.52875,-0.12391]
school:100009	[51.55068,-0.20017]
school:100010	[51.54746,-0.12784]
school:100011	[51.56355,-0.14458]
school:100012	[51.55117,-0.14970]
school:100013	[51.53277,-0.13114]
school:100014	[51.55326,-0.15984]
school:100015	[51.54053,-0.14279]
school:100016	[51.54331,-0.19683]
school:100017	[51.54331,-0.19683]
school:100018	[51.52755,-0.14044]
school:100019	[51.55795,-0.17688]
school:100020	[51.53951,-0.15135]
school:100021	[51.54771,-0.15059]
school:100022	[51.53548,-0.13655]
school:100023	[51.54967,-0.13284]
school:100024	[51.54967,-0.13284]
school:100025	[51.55506,-0.15179]
school:100026	[51.55340,-0.17586]
school:100027	[51.55464,-0.13901]
school:100028	[51.55956,-0.17631]
school:100029	[51.53114,-0.14424]
school:100030	[51.55235,-0.19364]
school:100031	[51.55635,-0.17957]
school:100032	[51.54615,-0.17790]
school:100033	[51.54412,-0.14582]
school:100034	[51.54972,-0.13927]
school:100035	[51.55209,-0.16678]
school:100036	[51.52021,-0.11103]
school:100037	[51.53162,-0.13436]
school:100038	[51.53022,-0.13245]
school:100039	[51.55168,-0.15752]
school:100040	[51.52237,-0.11660]
school:100041	[51.51619,-0.12187]
school:100042	[51.54037,-0.19336]
school:100043	[51.53238,-0.13447]
school:100044	[51.53910,-0.13839]
school:100045	[51.54927,-0.14292]
school:100046	[51.54167,-0.16289]
school:100047	[51.54097,-0.19375]
school:100048	[51.53887,-0.13748]
school:100049	[51.54483,-0.15323]
school:100050	[51.55845,-0.14965]
school:100051	[51.53425,-0.13353]
school:100052	[51.55587,-0.20698]
school:100053	[51.55753,-0.14113]
school:100054	[51.54599,-0.13469]
school:100055	[51.53061,-0.13208]
school:100056	[51.55875,-0.15111]
school:100057	[51.54444,-0.14016]
school:100059	[51.56000,-0.14944]
school:100060	[51.52221,-0.11992]
school:100061	[51.55099,-0.17001]
school:100062	[51.55780,-0.19033]
school:100063	[51.54486,-0.16575]
school:100064	[51.54542,-0.17090]
school:100065	[51.55351,-0.18111]
school:100066	[51.53902,-0.14510]
school:100067	[51.55054,-0.17631]
school:100068	[51.54805,-0.17893]
school:100069	[51.54507,-0.16992]
school:100070	[51.55379,-0.17628]
school:100071	[51.54893,-0.17629]
school:100072	[51.55230,-0.17145]
school:100073	[51.55318,-0.16838]
school:100074	[51.55446,-0.17475]
school:100075	[51.54434,-0.17024]
school:100076	[51.54619,-0.17723]
school:100077	[51.54770,-0.15857]
school:100078	[51.55857,-0.17652]
school:100079	[51.55597,-0.17410]
school:100080	[51.55344,-0.17745]
school:100081	[51.54459,-0.18133]
school:100082	[51.54906,-0.14566]
school:100083	[51.55446,-0.17475]
school:100084	[51.54569,-0.16219]
school:100085	[51.52078,-0.12230]
school:100086	[51.54294,-0.19128]
school:100087	[51.55109,-0.20792]
school:100088	[51.54570,-0.17734]
school:100089	[51.54885,-0.19172]
school:100090	[51.54930,-0.17888]
school:100091	[51.53810,-0.12696]
school:100092	[51.54431,-0.14672]
school:100093	[51.53994,-0.18119]
school:100094	[51.55322,-0.16532]
school:100095	[51.63246,-0.69136]
school:100096	[51.54090,-0.17134]
school:100097	[51.48135,-0.02325]
school:100098	[51.48703,0.04145]
school:100099	[51.48648,0.11237]
school:100100	[51.48015,0.05977]
school:100101	[51.49193,0.05926]
school:100102	[51.48785,0.00628]
school:100103	[51.46049,0.03874]
school:100104	[51.46103,0.03922]
school:100105	[51.48224,0.07209]
school:100106	[51.44923,0.03691]
school:100107	[51.48492,0.01170]
school:100108	[51.43412,0.05683]
school:100109	[51.48645,0.11369]
school:100110	[51.48530,0.11290]
school:100111	[51.49358,0.01132]
school:100112	[51.44848,0.08603]
school:100113	[51.48714,0.09464]
school:100114	[51.47008,-0.01451]
school:100115	[51.47631,0.03212]
school:100116	[51.48786,0.08950]
school:100117	[51.48738,0.08864]
school:100118	[51.46152,0.06263]
school:100119	[51.46152,0.06263]
school:100120	[51.45737,0.03552]
school:100121	[51.48623,0.08114]
school:100122	[51.48623,0.08114]
school:100123	[51.47843,0.06366]
school:100124	[51.47838,0.06450]
school:100125	[51.48441,0.02699]
school:100126	[51.48457,0.09872]
school:100127	[51.45856,0.05450]
school:100128	[51.43412,0.05683]
school:100129	[51.45539,0.04164]
school:100130	[51.48509,0.01518]
school:100131	[51.46237,0.04285]
school:100132	[51.44446,0.02500]
school:100133	[51.48376,-0.02420]
school:100134	[51.47897,0.02057]
school:100135	[51.47907,-0.01311]
school:100136	[51.47002,0.03218]
school:100137	[51.48380,-0.00156]
school:100138	[51.44430,0.03792]
school:100139	[51.44430,0.03792]
school:100140	[51.47797,0.07437]
school:100141	[51.48009,0.02569]
school:100142	[51.48674,0.04184]
school:100143	[51.47717,0.09036]
school:100144	[51.47717,0.09036]
school:100145	[51.48930,0.04930]
school:100146	[51.44009,0.06950]
school:100147	[51.42819,0.06200]
school:100148	[51.46411,0.01846]
school:100149	[51.42780,0.06245]
school:100150	[51.49332,0.11711]
school:100151	[51.47851,0.09418]
school:100152	[51.49596,0.11128]
school:100153	[51.47907,-0.01311]
school:100154	[51.46172,0.02217]
school:100155	[51.49043,0.05295]
school:100156	[51.48674,0.07435]
school:100157	[51.50288,0.11567]
school:100158	[51.49406,0.08275]
school:100159	[51.50794,0.11301]
school:100160	[51.48316,0.07080]
school:100161	[51.46103,0.03922]
school:100162	[51.47967,0.08640]
school:100163	[51.48864,0.06095]
school:100164	[51.47743,0.03687]
school:100165	[51.48814,0.00637]
school:100166	[51.46990,0.06083]
school:100167	[51.45165,0.05645]
school:100168	[51.47976,0.02782]
school:100169	[51.48640,0.00530]
school:100170	[51.48341,0.07639]
school:100171	[51.49114,0.06133]
school:100172	[51.45353,0.06396]
school:100173	[51.48774,0.08550]
school:100174	[51.48168,-0.01222]
school:100175	[51.48711,0.06869]
school:100176	[51.46175,0.04492]
school:100177	[51.49173,0.10402]
school:100178	[51.45995,0.03037]
school:100179	[51.48111,0.06705]
school:100180	[51.50114,0.11312]
school:100181	[51.50839,0.11886]
school:100182	[51.45091,0.04578]
school:100183	[51.48293,0.08439]
school:100184	[51.47310,0.06144]
school:100185	[51.46947,0.04350]
school:100186	[51.49319,0.10779]
school:100187	[51.50354,0.10840]
school:100188	[51.45138,0.03941]
school:100189	[51.45502,0.07612]
school:100190	[51.46472,0.02633]
school:100191	[51.50354,0.10840]
school:100192	[51.47863,0.00703]
school:100193	[51.47578,-0.00581]
school:100194	[51.48027,0.10364]
school:100195	[51.47645,0.02786]
school:100196	[51.44830,0.06154]
school:100197	[51.50435,0.11267]
school:100198	[51.47486,0.01746]
school:100199	[51.47244,0.01572]
school:100200	[51.45502,0.01981]
school:100201	[51.43564,0.06602]
school:100202	[51.45032,0.02161]
school:100203	[51.46709,0.00943]
school:100204	[51.44909,0.03891]
school:100205	[51.48178,0.04606]
school:100206	[51.47324,0.09034]
school:100207	[51.48391,0.00178]
school:100208	[51.48729,0.08103]
school:100209	[51.03897,-0.18534]
school:100210	[51.47324,0.09034]
school:100211	[51.48704,0.10170]
school:100212	[51.54325,-0.04143]
school:100213	[51.53614,-0.08050]
school:100214	[51.55856,-0.08529]
school:100215	[51.55856,-0.08529]
school:100216	[51.54877,-0.06248]
school:100217	[51.55830,-0.06519]
school:100218	[51.54604,-0.04484]
school:100219	[51.53391,-0.08103]
school:100220	[51.53391,-0.08103]
school:100221	[51.54914,-0.07413]
school:100222	[51.57516,-0.06434]
school:100223	[51.55272,-0.03799]
school:100224	[51.54533,-0.07699]
school:100225	[51.54578,-0.02597]
school:100226	[51.54236,-0.06260]
school:100227	[51.54236,-0.06260]
school:100228	[51.53558,-0.07296]
school:100229	[51.53663,-0.04575]
school:100230	[51.53730,-0.06005]
school:100231	[51.55588,-0.05095]
school:100232	[51.54650,-0.05029]
school:100233	[51.56242,-0.06408]
school:100234	[51.54085,-0.04906]
school:100235	[51.53929,-0.07175]
school:100236	[51.53332,-0.07470]
school:100237	[51.55442,-0.04653]
school:100238	[51.55442,-0.04653]
school:100239	[51.55277,-0.07760]
school:100240	[51.53396,-0.06595]
school:100241	[51.55323,-0.07276]
school:100242	[51.56344,-0.05363]
school:100243	[51.53313,-0.09120]
school:100244	[51.56928,-0.06635]
school:100245	[51.53502,-0.08586]
school:100246	[51.56180,-0.07495]
school:100247	[51.56180,-0.07495]
school:100248	[51.57362,-0.09096]
school:100249	[51.57362,-0.09096]
school:100250	[51.55359,-0.03530]
school:100251	[51.57045,-0.08208]
school:100252	[51.55501,-0.08356]
school:100253	[51.56607,-0.06594]
school:100254	[51.55679,-0.06449]
school:100255	[51.55733,-0.05781]
school:100256	[51.56726,-0.05407]
school:100257	[51.57011,-0.07499]
school:100258	[51.56419,-0.08313]
school:100259	[51.56507,-0.09931]
school:100260	[51.55830,-0.06519]
school:100261	[51.55709,-0.03959]
school:100262	[51.54759,-0.05048]
school:100263	[51.54272,-0.07351]
school:100264	[51.54448,-0.07860]
school:100265	[51.54551,-0.03798]
school:100266	[51.53091,-0.08404]
school:100267	[51.55287,-0.07935]
school:100268	[51.52834,-0.08155]
school:100269	[51.53749,-0.06549]
school:100270	[51.54008,-0.05016]
school:100271	[51.56226,-0.08151]
school:100272	[51.56474,-0.08490]
school:100273	[51.54551,-0.03798]
school:100274	[51.55877,-0.06251]
school:100275	[51.56570,-0.06848]
school:100276	[51.55270,-0.05958]
school:100277	[51.53245,-0.07198]
school:100278	[51.55472,-0.05198]
school:100279	[51.55789,-0.08461]
school:100280	[51.54870,-0.04845]
school:100281	[51.55247,-0.06992]
school:100282	[51.57427,-0.07523]
school:100283	[51.57263,-0.07340]
school:100284	[51.54445,-0.05392]
school:100285	[51.54703,-0.04738]
school:100286	[51.56817,-0.06790]
school:100287	[51.57421,-0.07453]
school:100288	[51.57155,-0.08128]
school:100289	[51.56604,-0.06437]
school:100290	[51.57223,-0.07330]
school:100291	[51.57456,-0.08225]
school:100292	[51.57223,-0.07330]
school:100293	[51.57451,-0.07996]
school:100294	[51.57241,-0.06534]
school:100295	[51.56678,-0.07079]
school:100296	[51.56717,-0.07034]
school:100297	[51.57495,-0.08337]
school:100298	[51.57424,-0.06835]
school:100299	[51.56804,-0.08151]
school:100300	[51.56741,-0.06140]
school:100301	[51.55548,-0.04296]
school:100302	[51.56519,-0.06785]
school:100303	[51.49950,-0.01842]
school:100304	[51.54696,-0.07476]
school:100305	[51.56524,-0.05210]
school:100306	[51.56440,-0.06911]
school:100307	[51.55270,-0.05958]
school:100308	[51.55595,-0.05972]
school:100309	[51.38783,0.12783]
school:100310	[51.52951,-0.08821]
school:100311	[51.55403,-0.07878]
school:100312	[51.55008,-0.18084]
school:100313	[51.48537,-0.20419]
school:100314	[51.47526,-0.21044]
school:100315	[51.51085,-0.23242]
school:100316	[51.50193,-0.23441]
school:100317	[51.49224,-0.21363]
school:100318	[51.48442,-0.21444]
school:100319	[51.46971,-0.21059]
school:100320	[51.47510,-0.21987]
school:100321	[51.49982,-0.21921]
school:100322	[51.49490,-0.20936]
school:100323	[51.51532,-0.23231]
school:100324	[51.49990,-0.23283]
school:100325	[51.51184,-0.22981]
school:100326	[51.50411,-0.22884]
school:100327	[51.50654,-0.23488]
school:100328	[51.49483,-0.23548]
school:100329	[51.48354,-0.19798]
school:100330	[51.47209,-0.20544]
school:100331	[51.53171,-0.23534]
school:100332	[51.47270,-0.18886]
school:100333	[51.49894,-0.22486]
school:100334	[51.48618,-0.22116]
school:100335	[51.51802,-0.24384]
school:100336	[51.47113,-0.19566]
school:100337	[51.47984,-0.22177]
school:100338	[51.48307,-0.20963]
school:100339	[51.47065,-0.19948]
school:100340	[51.50333,-0.24897]
school:100341	[51.51167,-0.23875]
school:100342	[51.48507,-0.20405]
school:100343	[51.50367,-0.23744]
school:100344	[51.47286,-0.21362]
school:100345	[51.47591,-0.19898]
school:100346	[51.49682,-0.23572]
school:100347	[51.48428,-0.20962]
school:100348	[51.49385,-0.21685]
school:100349	[51.47705,-0.20912]
school:100350	[51.49890,-0.21599]
school:100351	[51.49064,-0.22720]
school:100352	[51.49216,-0.24013]
school:100353	[51.50554,-0.22763]
school:100354	[51.50264,-0.24526]
school:100355	[51.51222,-0.23270]
school:100356	[51.49243,-0.21797]
school:100357	[51.48135,-0.20733]
school:100358	[51.47778,-0.21523]
school:100359	[51.51309,-0.23784]
school:100360	[51.48136,-0.21417]
school:100361	[51.46782,-0.19652]
school:100362	[51.51895,-0.22972]
school:100363	[51.49358,-0.22335]
school:100364	[51.47419,-0.19964]
school:100365	[51.48192,-0.19384]
school:100366	[51.49514,-0.21886]
