school-federation	name	website	start-date	end-date
1	A Federation of East Ruston & Stalham Community Infant Schools & associated Pre-Schools			
2	Abbas Federation			
3	Albert Pritchard Infant School and Wood Green Junior School Federation			
4	All Saints Church Schools Federation			
5	All Saints, St. Andrew's and Hapton Federation			
6	Alston Moor Federation			
7	Alvanley & Manley Federated Schools			
8	Alvaston junior School and Village Primary School federation			
9	Ashington Learning Partnership			
10	Ashley Down Schools Federation			
11	Astley & Hallow Federation			
12	Avondale Park Primary School			
13	Axe Beacon Federation			
14	Barnet Early Years Alliance			
15	Bayonne and James Lee Federation			
16	Beamish and Pelton Federation of Schools			
17	Beauclerc and Chennestone Schools			
18	Beckley & Peasmarsh Federation			
19	Bentley High Street Primary School and Scawsby Rosedale Primary School Federation			
20	Bilsdale Midcable Chop Gate & Carlton & Faceby CE Confederated Schools			
21	Bishop Martin and Garston Church School Federation			
22	Blakeney and Pillowell Federation			
23	Bomere and the XI Towns Federation			
24	Boulevard Primary Partnership			
25	Bramford and Somersham Primary School Federation			
26	Breamore Hale Federation			
27	Brewood and Wheaton Aston Federation			
28	Bursledon Federation of Schools			
29	Caddington and Slip End Alliance			
30	Calstock Community Primary School and Stoke Climsland School Federation			
31	Cambridge Nursery Federation			
32	Campsbourne School			
33	Cantley & Horning Primary Schools Federation			
34	Carlisle Infant and Hampton Hill Federation			
35	Carterton Community Schools Federation, Gateway to Excellence			
36	Castleton and Glaisdale Federation			
37	Catholic Federation of Our Lady of Perpetual Help and Saint Joseph and Saint Teresa's Catholic Primary Schools			
38	Cedar Centre, Downs Park and Patcham House Federation			
39	Chaddleworth and Shefford CoE Primary Schools			
40	Chalfont St Giles Infant and Nursery and Chalfont St Giles Junior			
41	Children's Learning Partnership			
42	Church Valley School Federation			
43	Clipston Endowed Voluntary Controlled Primary School			
44	Codsall High Federation of Schools			
45	Cople and Willington			
46	Cornfield, Oak Grove and Palatine Federation			
47	Coventry South East Federation			
48	Crewkerne and Misterton Federation			
49	Crofton Anne Dale Federation			
50	Croscombe and Stoke St Michael Federation			
51	Crowcombe and Stogumber Federation			
52	Cutcombe and Timberscombe Federation			
53	Dartmoor Federation			
54	Devon Moors Federation			
55	Dove-Shell Federation			
56	Dryden & Hill Top Learning Federation			
57	Durrington First School and Durrington Middle School Federation			
58	Ellingham and Woodton Primary Federation			
59	Emneth Federation			
60	Fairlawn and Haseltine Federation			
61	Federated Governing Body of Grove Vale Primary and Holy Trinity Church			
62	Federation of All Saints CoE Primary School and Sharnford CoE Primary			
63	Federation of Arreton St George's CE Controlled and Oakfield CE Aided Primaries			
64	Federation of Bounds Green Infant &. Bounds Green Junior School			
65	Federation of Burley and Sopley Primary Schools			
66	Federation of Canewdon Endowed (CofE) VC Primary School and St. Nicholas CofE (VC) Primary Schools			
67	Federation of College Park and Queen Elizabeth II Jubilee Schools			
68	Federation of EGA and Copenhagen Primary School			
69	Federation of Earlswood Schools			
70	Federation of Eileen Wade and Milton Ernest VC lower schools			
71	Federation of Etruria and Shelton Schools			
72	Federation of Farnham & Rickling C of E			
73	Federation of Gislingham and Palgrave CEVC			
74	Federation of Grove House Nursery and Infant and King's Park Infant Schools			
75	Federation of Heritage Park and Holgate Meadows Community School			
76	Federation of Hob Moor Oaks and Hob Moor Community Primary Schools			
77	Federation of Knaphill Schools			
78	Federation of Longhorsley and Whalton First School			
79	Federation of Manor Mead and Walton Leigh Schools			
80	Federation of Newtown and Welshampton Schools			
81	Federation of Rosegrove Nursery and Infant Schools			
82	Federation of Scapegoat Hill J&I and Linthwaite Clough JI & EY Schools			
83	Federation of Scholes (Elmet) Primary School and St James' CofE Primary School, Wetherby			
84	Federation of Sharow CE School and Skelton Newby Hall CE Primary			
85	Federation of Springwood Infant and Springwood Junior Schools			
86	Federation of St Godric's Roman Catholic Voluntary Aided Primary School			
87	Federation of St James' CE (VA) Junior, St James' CE (VA) Infant and Nursery and Rosehill Community Infant Schools			
88	Federation of St Peter's Elwick and Hart Primary Schools			
89	Federation of Stoke Hill Schools			
90	Federation of Valentine Primary and Heathfield Junior Schools			
91	Federation of Vauxhall and Wyvil Primary Schools			
92	Federation of Wellow School and Awbridge Primary School			
93	Federation of West Leigh Infant School and Backwell Junior School			
94	Federation of Wimboldsley and William Stockton Community Primary Schools			
95	Federation of Winklebury Infant and Junior Schools			
96	Federation of the Polehampton CofE Schools			
97	First Church Schools Federation			
98	Flying Start Federation			
99	Forest Oak School and Merstone School Federation			
100	Forster Park and Rangefield Federation			
101	Fountains Schools Federation			
102	Fox / Ashburnham School Federation			
103	Frettenham and Hainford Primary Partnership Schools			
104	Gardners Lane and Oakwood Federation			
105	Gedney Drove End & Holbeach St Marks Federated Primary Schools			
106	Golden Valley Collaboration			
107	Goldstar			
108	Goodleigh C of E Primary School & Ilfracombe Infant & Nursery School Federation			
109	Gorse Ride Infant and Junior Schools Federation			
110	Grazebrook and Shacklewell Primary Federation			
111	Great Ellingham Primary and Rocklands Primary			
112	Great Massingham and Harpley C of E Schools Federation			
113	Grewelthorpe & Fountains Church Of England Federation			
114	Grinling Gibbons and Lucas Vale Federation			
115	Hadley Learning Community			
116	Halberton & Uplowman Federation			
117	Halfway Junior / Shortbrook Primary Schools Federation			
118	Hamilton & Northwood Broom Federation			
119	Hampton Primary Partnership			
120	Hanbury's Farm Primary and Oakhill Primary Federation			
121	Hanham Primary Federation			
122	Harbour View			
123	Heathfield Schools' Partnership			
124	Hevingham and Marsham Primary Partnership Schools			
125	Hexham Middle & Queen Elizabeth High School Hard Federation			
126	High Down federation			
127	Holmewood and Triangle Federation			
128	Holsworthy Area Federation			
129	Holton Le Clay Federation			
