school-type	name	start-date	end-date
1	Academy 16-19 Converter		
2	Academy 16-19 Sponsor Led		
3	Academy Alternative Provision Converter		
4	Academy Alternative Provision Sponsor Led		
5	Academy Converter		
6	Academy Special Converter		
7	Academy Special Sponsor Led		
8	Academy Sponsor Led		
9	British Schools Overseas		
10	City Technology College		
11	Community School		
12	Community Special School		
13	Foundation School		
14	Foundation Special School		
15	Free Schools		
16	Free Schools - 16-19		
17	Free Schools - Alternative Provision		
18	Free Schools Special		
19	Further Education		
20	Higher Education Institutions		
21	Institution funded by other Government Department		
22	LA Nursery School		
23	Miscellaneous		
24	Non-Maintained Special School		
25	Offshore Schools		
26	Other Independent School		
27	Other Independent Special School		
28	Pupil Referral Unit		
29	Secure Units		
30	Service Childrens Education		
31	Sixth Form Centres		
32	Special Post 16 Institution		
33	Studio Schools		
34	University Technical College		
35	Voluntary Aided School		
36	Voluntary Controlled School		
37	Welsh Establishment		
