street	name	name-cy	place	local-authority	polyline	end-date
10300162	ACORN ROAD		74550625	HRT-UC	[[51.7471466,-0.4511755],[51.7470836,-0.4511776]]	
10300195	ADEYFIELD ROAD		74550625	HRT-UC	[[51.7557117,-0.466617],[51.7579811,-0.4456752]]	
10300846	AYCLIFFE DRIVE		74550625	HRT-UC	[[51.77285,-0.4583538],[51.7692819,-0.45849]]	
10300853	AYLESBURY ROAD		74548120	HRT-UC	[[51.7920813,-0.6870578],[51.7898521,-0.6871225]]	
10301442	BELSWAINS LANE		74550625	HRT-UC	[[51.740013,-0.4653531],[51.730189,-0.4656912]]	
10301478	BENNETTS END ROAD		74550625	HRT-UC	[[51.748537,-0.4516059],[51.7421555,-0.451827]]	
10301959	BOX LANE		74550625	HRT-UC	[[51.7316335,-0.5222854],[51.7313332,-0.5227152]]	
10301968	BOXTED ROAD		74550625	HRT-UC	[[51.7635726,-0.5051578],[51.7564899,-0.5053918]]	
10302195	BRIDLE WAY		74546398	HRT-UC	[[51.7708509,-0.5772232],[51.7683252,-0.5773027]]	
10302264	BROADFIELD ROAD		74550625	HRT-UC	[[51.7552428,-0.4582729],[51.7539216,-0.458318]]	
10302566	BUNKERS LANE		74550625	HRT-UC	[[51.7307911,-0.4492301],[51.7307912,-0.449235]]	
10302828	CAMBRIAN WAY		74550625	HRT-UC	[[51.7651314,-0.4615153],[51.7649264,-0.4616527]]	
10303263	CAVENDISH ROAD		74553187	HRT-UC	[[51.8383637,-0.4630833],[51.8371116,-0.4670448]]	
10303628	CHESHAM ROAD		74546398	HRT-UC	[[51.7460407,-0.5815808],[51.7453233,-0.5824868]]	
10303775	CHRISTCHURCH ROAD		74548120	HRT-UC	[[51.7984779,-0.6729361],[51.7930486,-0.6730953]]	
10303866	CHURCH MEADOW		74550639	HRT-UC	[[51.790444,-0.5082703],[51.7915302,-0.5109604]]	
10303875	CHURCH ROAD		74548130	HRT-UC	[[51.8105688,-0.5617706],[51.8105688,-0.5617721]]	
10303887	CHURCH ROAD		74553173	HRT-UC	[[51.7707727,-0.5270509],[51.7697391,-0.5270846]]	
10304106	CLOVER WAY		74550625	HRT-UC	[[51.7591038,-0.4834116],[51.7591038,-0.4834116]]	
10304290	COMMON FIELD		74546846	HRT-UC	[[51.7833184,-0.6446189],[51.7807929,-0.6447235]]	
10304298	COMMON LANE		74550630	HRT-UC	[[51.7171024,-0.4585869],[51.7149183,-0.4586611]]	
10304556	COWPER ROAD		74550625	HRT-UC	[[51.7507379,-0.4873429],[51.7463696,-0.4874888]]	
10305424	DURRANTS LANE		74546617	HRT-UC	[[51.7617295,-0.5911162],[51.7606978,-0.5928146]]	
10306252	FLETCHER WAY		74550625	HRT-UC	[[51.7641139,-0.4724329],[51.7613658,-0.4733807]]	
10306486	FROGMORE STREET		74548120	HRT-UC	[[51.7950829,-0.6629577],[51.7935729,-0.6630085]]	
10306633	GADDESDEN ROW		74550639	HRT-UC	[[51.8124859,-0.4929914],[51.7940335,-0.4936072]]	
10306646	GADEBRIDGE ROAD		74550625	HRT-UC	[[51.7646729,-0.4892388],[51.7573297,-0.4894842]]	
10306656	GALLEY HILL		74550625	HRT-UC	[[51.7616693,-0.4962222],[51.76102,-0.49678]]	
10306783	GEORGE STREET		74550625	HRT-UC	[[51.7591941,-0.555566],[51.7586639,-0.5555974]]	
10307248	GREEN END ROAD		74550625	HRT-UC	[[51.7525477,-0.4938307],[51.7466694,-0.4940309]]	
