Group UID,Group ID,Group Name,Companies House Number,Group Type (code),Group Type
2044,TR00261,Abbey Academies Trust,07318714,06,Multi-academy trust
2046,TR00002,Abbey Multi Academy Trust,07705552,06,Multi-academy trust
2053,TR00008,Academies Enterprise Trust,06625091,06,Multi-academy trust
2059,TR00013,The Academy of Lincoln Trust,07557670,06,Multi-academy trust
2060,TR00014,The Academy of Woodlands,08444770,06,Multi-academy trust
2062,TR00015,Academy Transformation Trust,07846852,06,Multi-academy trust
2064,TR00017,Ace Learning,08681270,06,Multi-academy trust
2067,TR00020,Acorn Academy Cornwall,08418341,06,Multi-academy trust
2070,TR01229,Acorn Education Trust,07654902,06,Multi-academy trust
2071,TR03028,Acorn Multi Academy Trust,09253218,06,Multi-academy trust
2072,TR00022,Acorn Trust,08638158,06,Multi-academy trust
2075,TR00024,The Active Learning Trust Limited,07903002,06,Multi-academy trust
2076,TR00025,The Adelaide Academy Trust,08725920,06,Multi-academy trust
2079,TR00026,Advance Trust,08414933,06,Multi-academy trust
2081,TR02658,Adventure Learning Academy Trust,08614382,06,Multi-academy trust
2082,TR02571,Aim High Academy Trust,08842629,06,Multi-academy trust
2083,TR00027,Airedale Academies Trust,07556117,06,Multi-academy trust
2095,TR00037,Amethyst Academies Trust,08310900,06,Multi-academy trust
2096,TR00628,Aldridge North West Education Trust,05670663,06,Multi-academy trust
2100,TR01850,Aletheia Anglican Academies Trust,07801612,06,Multi-academy trust
2109,TR02689,All Saints' Academies Trust,08998917,06,Multi-academy trust
2111,TR00047,All Saints Catholic Academy Trust,07943555,06,Multi-academy trust
2112,TR00048,All Saints Catholic Collegiate,08709352,06,Multi-academy trust
2122,TR00057,Alsager Multi Academy Trust,08597784,06,Multi-academy trust
2128,TR02316,Ambitions Academies Trust,07977940,06,Multi-academy trust
2133,TR00066,Amherst School (Academy) Trust,07517121,06,Multi-academy trust
2135,TR00068,The Ann Harris Academy Trust,08741949,06,Multi-academy trust
2137,TR02950,Apollo Schools Trust,08641815,06,Multi-academy trust
2143,TR00322,Aquinas Church of England Education Trust Limited,07525735,06,Multi-academy trust
2147,TR00076,Sentamu Academy Learning Trust,06544825,06,Multi-academy trust
2157,TR00081,ARK Schools,05112090,06,Multi-academy trust
2161,TR00084,The Gryphon Trust,07546874,06,Multi-academy trust
2166,TR00089,The Arthur Terry Learning Partnership,07730920,06,Multi-academy trust
2168,TR00090,The Ascent Academies' Trust,08098007,06,Multi-academy trust
2177,TR02469,Ashley Hill Multi Academy Trust,08163445,06,Multi-academy trust
2183,TR02643,Ashwood Multi Academy Trust,08922452,06,Multi-academy trust
2186,TR00103,Aspirations Academies Trust,07867577,06,Multi-academy trust
2189,TR02430,Aspire Academies Trust,08187216,06,Multi-academy trust
2192,TR00579,ASPIRE Academy Trust,07387540,06,Multi-academy trust
2194,TR00104,Aspire Multi - Academy Trust,08840094,06,Multi-academy trust
2195,TR00105,Aston Community Education Trust,07577113,06,Multi-academy trust
2199,TR03037,Atlantic Centre of Excellence Multi Academy Trust,08782544,06,Multi-academy trust
2200,TR03038,Attwood Academies,09148479,06,Multi-academy trust
2206,TR00111,Aurora Academies Trust,08107711,06,Multi-academy trust
2207,TR02921,Autism Schools Trust,08335297,06,Multi-academy trust
2209,TR00112,Avanti Schools Trust,07506598,06,Multi-academy trust
2212,TR03025,Avocet Academy Trust,09254238,06,Multi-academy trust
2213,TR00115,Avonbourne International Business and Enterprise Academy Trust,08080096,06,Multi-academy trust
2231,TR02692,Barnes Academy Trust,09083904,06,Multi-academy trust
2232,TR00131,Barnet City Academy,04389132,06,Multi-academy trust
2233,TR00132,The Shared Learning Trust,05958361,06,Multi-academy trust
2235,TR00133,Barnfield Studio School Trust,07327343,06,Multi-academy trust
2237,TR00134,The Barnhill Partnership Trust,07719016,06,Multi-academy trust
2239,TR02606,Barnwell Academy Trust,08929065,06,Multi-academy trust
2248,TR00143,The Basildon Academies,06308595,06,Multi-academy trust
2250,TR00145,The Bath and Wells Diocesan Academies Trust,08207095,06,Multi-academy trust
2255,TR03045,Bay Education Trust,09299975,06,Multi-academy trust
2259,TR00153,Beacon Community College Academy Trust,07959980,06,Multi-academy trust
2265,TR02563,Beacon Multi-Academy Trust Limited,07835788,06,Multi-academy trust
2268,TR00161,Beaver Road Academy Trust,08698831,06,Multi-academy trust
2270,TR00163,Beckfoot Trust,08155088,06,Multi-academy trust
2275,TR00167,Bedfordshire East Multi-Academy Trust,07546141,06,Multi-academy trust
2288,TR00178,Bellevue Place Education Trust,07956784,06,Multi-academy trust
2299,TR00187,Green spring Education Trust,07856680,06,Multi-academy trust
2305,TR02685,Bicester Learning Academy,09053713,06,Multi-academy trust
2307,TR00193,Biddick Academy Trust,08521080,06,Multi-academy trust
2311,TR00197,Life Academies Trust,07928028,06,Multi-academy trust
2322,TR00207,Birmingham City University Academies Trust,08497028,06,Multi-academy trust
2326,TR00210,The Bishop Anthony Educational Trust,08762217,06,Multi-academy trust
2328,TR00211,Bishop Cleary Catholic Multi Academy Company,08578428,06,Multi-academy trust
2332,TR00214,The Bishop Konstant Catholic Academy Trust,08253770,06,Multi-academy trust
2342,TR00224,The Bishop Wheeler Catholic Academy Trust,08399801,06,Multi-academy trust
2348,TR00231,Blackbird Academy Trust,08544741,06,Multi-academy trust
2350,TR00233,Blackpool Multi Academy Trust,08597962,06,Multi-academy trust
2351,TR02682,Blandford Education Trust,09050439,06,Multi-academy trust
2353,TR02681,Blessed Christopher Wharton Catholic Academy Trust,09066969,06,Multi-academy trust
2354,TR00235,The Blessed Cyprian Tansi Catholic Academy Trust,08090890,06,Multi-academy trust
2355,TR02870,"Blessed Edward Bamber Catholic Multi Academy Trust, The",09111449,06,Multi-academy trust
2356,TR02763,Blessed Peter Snow Catholic Academy Trust,09068195,06,Multi-academy trust
2358,TR00237,Blue Bell Hill Academy Trust,08554393,06,Multi-academy trust
2363,TR00242,Bluecoat Academies Trust,07875164,06,Multi-academy trust
2365,TR00243,The Blyth Quays Trust,08428466,06,Multi-academy trust
2368,TR00246,Bohunt Education Trust,07535642,06,Multi-academy trust
2376,TR00253,The Boston Witham Academies Federation,08158309,06,Multi-academy trust
2377,TR00254,The Boswells Academy Trust,07907388,06,Multi-academy trust
2386,TR00263,Bourne Education Trust,07768726,06,Multi-academy trust
2400,TR02985,Bradfields Academy,08899707,06,Multi-academy trust
2404,TR00276,Bradford Academy Trust,05508735,06,Multi-academy trust
2406,TR00277,Bradford College Education Trust,06772181,06,Multi-academy trust
2408,TR00278,Bradford Diocesan Academies Trust,08258994,06,Multi-academy trust
2413,TR00283,Brampton Manor Trust,07540236,06,Multi-academy trust
2415,TR00284,BRandH Academy Limited,07698718,06,Multi-academy trust
2424,TR02102,Brentwood Academies Trust,07638800,06,Multi-academy trust
2425,TR02671,Brentwood Community Academies Trust,09030028,06,Multi-academy trust
2430,TR00294,Bridge Multi-academy Trust,07736425,06,Multi-academy trust
2434,TR00296,Bridgwater College Trust,08098956,06,Multi-academy trust
2437,TR00298,Bright Futures Educational Trust,07695771,06,Multi-academy trust
