name,is-umbrella
Askel Veur (Diocese of Truro Academies Umbrella Trust),yes
"Bournemouth, Septenary Trust",yes
Canterbury Diocesan Umbrella Trust,yes
Hallam: De La Salle Academy Trust,yes
Hamwic Trust,yes
Ignite Education Trust,yes
London Diocesan Board for Schools,yes
"Marian Catholic Academy Trust, The",yes
North East Essex Education Partnership,yes
Our Lady of Doncaster Umbrella Trust,yes
Our Lady Seat of Wisdom,yes
Our Lady's,yes
Portsmouth and Winchester Diocesan Academy Umbrella Trust,yes
The Consortium of Community Trusts,yes
The Discovery Alliance Umbrella Trust,yes
The Holy Spirit Umbrella Trust,yes
The Inspirational Learning Trust,yes
The South Leicestershire Learning Partnership,yes
Wakefield Diocesan Umbrella Trust,yes
