urn	establishment-type	establishment-group-type
100000	Voluntary Aided School	LA maintained schools
100001	Other Independent School	Independent schools
100002	Other Independent School	Independent schools
100003	Other Independent School	Independent schools
100004	LA Nursery School	LA maintained schools
100005	LA Nursery School	LA maintained schools
100006	Pupil Referral Unit	LA maintained schools
100007	Pupil Referral Unit	LA maintained schools
100008	Community School	LA maintained schools
100009	Community School	LA maintained schools
100010	Community School	LA maintained schools
100011	Community School	LA maintained schools
100012	Community School	LA maintained schools
100013	Community School	LA maintained schools
100014	Community School	LA maintained schools
100015	Community School	LA maintained schools
100016	Community School	LA maintained schools
100017	Community School	LA maintained schools
100018	Community School	LA maintained schools
100019	Community School	LA maintained schools
100020	Community School	LA maintained schools
100021	Community School	LA maintained schools
100022	Community School	LA maintained schools
100023	Community School	LA maintained schools
100024	Community School	LA maintained schools
100025	Community School	LA maintained schools
100026	Community School	LA maintained schools
100027	Community School	LA maintained schools
100028	Voluntary Aided School	LA maintained schools
100029	Voluntary Aided School	LA maintained schools
100030	Voluntary Aided School	LA maintained schools
100031	Voluntary Aided School	LA maintained schools
100032	Voluntary Aided School	LA maintained schools
100033	Voluntary Aided School	LA maintained schools
100034	Voluntary Aided School	LA maintained schools
100035	Voluntary Aided School	LA maintained schools
100036	Voluntary Aided School	LA maintained schools
100037	Voluntary Aided School	LA maintained schools
100038	Voluntary Aided School	LA maintained schools
100039	Voluntary Aided School	LA maintained schools
100040	Voluntary Aided School	LA maintained schools
100041	Voluntary Aided School	LA maintained schools
100042	Voluntary Aided School	LA maintained schools
100043	Voluntary Aided School	LA maintained schools
100044	Voluntary Aided School	LA maintained schools
100045	Voluntary Aided School	LA maintained schools
100046	Voluntary Aided School	LA maintained schools
100047	Voluntary Aided School	LA maintained schools
100048	Voluntary Aided School	LA maintained schools
100049	Community School	LA maintained schools
100050	Community School	LA maintained schools
100051	Community School	LA maintained schools
100052	Community School	LA maintained schools
100053	Community School	LA maintained schools
100054	Voluntary Aided School	LA maintained schools
100055	Voluntary Aided School	LA maintained schools
100056	Voluntary Aided School	LA maintained schools
100057	Voluntary Aided School	LA maintained schools
100059	Voluntary Aided School	LA maintained schools
100060	Foundation Special School	Special schools
100061	Other Independent School	Independent schools
100062	Other Independent School	Independent schools
100063	Other Independent School	Independent schools
100064	Other Independent School	Independent schools
100065	Other Independent School	Independent schools
100066	Other Independent School	Independent schools
100067	Other Independent School	Independent schools
100068	Other Independent School	Independent schools
100069	Other Independent School	Independent schools
100070	Other Independent School	Independent schools
100071	Other Independent School	Independent schools
100072	Other Independent School	Independent schools
100073	Other Independent School	Independent schools
100074	Other Independent School	Independent schools
100075	Other Independent School	Independent schools
100076	Other Independent School	Independent schools
100077	Other Independent School	Independent schools
100078	Other Independent School	Independent schools
100079	Other Independent School	Independent schools
100080	Other Independent School	Independent schools
100081	Other Independent School	Independent schools
100082	Other Independent School	Independent schools
100083	Other Independent School	Independent schools
100084	Other Independent School	Independent schools
100085	Other Independent School	Independent schools
100086	Other Independent School	Independent schools
100087	Other Independent School	Independent schools
100088	Other Independent School	Independent schools
100089	Other Independent School	Independent schools
100090	Other Independent School	Independent schools
100091	Community Special School	Special schools
100092	Community Special School	Special schools
100093	Community Special School	Special schools
100094	Community Special School	Special schools
100095	Community Special School	Special schools
100096	Community Special School	Special schools
100097	LA Nursery School	LA maintained schools
100098	LA Nursery School	LA maintained schools
100099	LA Nursery School	LA maintained schools
100100	LA Nursery School	LA maintained schools
100101	LA Nursery School	LA maintained schools
100102	LA Nursery School	LA maintained schools
100103	Pupil Referral Unit	LA maintained schools
100104	Pupil Referral Unit	LA maintained schools
100105	Pupil Referral Unit	LA maintained schools
100106	Pupil Referral Unit	LA maintained schools
100107	Pupil Referral Unit	LA maintained schools
100108	Pupil Referral Unit	LA maintained schools
100109	Community School	LA maintained schools
100110	Community School	LA maintained schools
100111	Community School	LA maintained schools
100112	Community School	LA maintained schools
100113	Community School	LA maintained schools
100114	Community School	LA maintained schools
100115	Community School	LA maintained schools
100116	Community School	LA maintained schools
100117	Community School	LA maintained schools
100118	Community School	LA maintained schools
100119	Community School	LA maintained schools
100120	Community School	LA maintained schools
100121	Community School	LA maintained schools
100122	Community School	LA maintained schools
100123	Community School	LA maintained schools
100124	Community School	LA maintained schools
100125	Community School	LA maintained schools
100126	Community School	LA maintained schools
100127	Community School	LA maintained schools
100128	Community School	LA maintained schools
100129	Community School	LA maintained schools
100130	Community School	LA maintained schools
100131	Community School	LA maintained schools
100132	Community School	LA maintained schools
100133	Community School	LA maintained schools
100134	Community School	LA maintained schools
100135	Community School	LA maintained schools
100136	Community School	LA maintained schools
100137	Community School	LA maintained schools
100138	Community School	LA maintained schools
100139	Community School	LA maintained schools
100140	Community School	LA maintained schools
100141	Community School	LA maintained schools
100142	Community School	LA maintained schools
100143	Community School	LA maintained schools
100144	Community School	LA maintained schools
100145	Community School	LA maintained schools
100146	Community School	LA maintained schools
100147	Community School	LA maintained schools
100148	Community School	LA maintained schools
