school	address
100000	200000071925
100001	200000074491
100002	200000072075
100003	100022936607
100007	5170858
100008	5090707
100009	5090655
100010	5090625
100011	5109551
100012	5109776
100013	5018016
100014	5090740
100015	5090718
100016	5090693
100018	5170858
100019	5158308
100020	5082685
100021	5082509
100022	5023398
100023	5090649
100024	5090649
100025	5090676
100026	5076981
100027	5090678
100028	5090616
100029	5090641
100030	5167368
100031	5109927
100032	5090704
100033	5090684
100034	5162371
100035	5134386
100036	5090637
100037	5090614
100038	5019560
100039	5131187
100040	5109944
100041	5090710
100043	5083198
100044	5053070
100045	5090698
100046	5109637
100047	5090731
100048	5007633
100049	5090679
100050	5109911
100051	5158277
100052	5090623
100053	5011527
100054	5090615
100055	5019560
100056	5109912
100059	5090721
100061	5053500
100062	5071854
100063	5055751
100065	5090680
100066	5137032
100067	5013908
100068	5000951
100069	5042307
100070	5076981
100071	5025711
100072	5053111
100073	5110228
100075	5026740
100076	5083448
100077	5023205
100078	5033354
100081	5013925
100084	5087787
100086	5031474
100090	5001728
100093	5090694
100095	10000170261
100096	5128973
100097	100023280672
100098	100023280249
100099	100023249498
100102	200001517263
100103	10010233365
100106	100023284144
100108	100023283259
100111	10010215866
100112	100023282789
100113	10010194247
100114	100023236740
100115	100023279427
100116	100023243032
100117	100023243032
100118	10010199787
100119	10010199787
100120	100023284337
100121	10010203420
100122	10010203420
100124	100023243867
100125	100023279550
100126	100023243004
100127	100023282436
100128	100023283259
100129	100023284296
100130	100023227605
100131	100023284375
100132	100023232882
100134	100023268139
100135	10010251070
100136	100023269118
100137	100023228977
100141	10010198245
100142	100023280277
100143	100023243229
100144	100023243229
100145	100023244656
100146	10010197752
100147	100023283258
100148	100023269713
100149	100023283258
100150	100023249698
100151	100023243259
100152	100023249695
100153	10010251070
100154	100023269727
100155	10010240457
100156	10010213441
100157	10010233312
100158	100023266976
100159	100023267210
100160	100023246397
100162	100023243256
100163	100023245287
100164	200001085631
100165	200002800566
100166	10010201626
100167	100023282435
100168	100020950239
100169	100023229074
100170	100023246065
100171	10010240417
100172	100023282375
100173	100023246394
100174	10010200592
100175	10010202775
100176	100023284387
100177	100023249699
100178	100023270022
100179	10010228391
100180	10010194799
100181	100023267157
100182	100023284003
100183	100023537874
100184	10010238386
100185	100023269117
100187	100023267028
100188	10010240460
100190	10010240474
100191	100023267028
100192	100023268141
100193	100023227816
100194	100023249499
100195	100023269325
100196	100023282798
100197	100023267208
100198	100023269083
100199	10010215818
100200	10010195572
100201	10010197515
100202	100023232104
100203	100023267627
100204	100023284144
100205	100023279825
100206	10010224939
100208	100023246399
100210	10010224939
100211	100023249537
100212	100023020639
100213	100023135385
100214	100021033608
100215	100021033608
100216	100021072733
100217	100021026086
100218	100023544462
100221	100023015314
100222	100021030252
100223	100023545426
100225	100021026159
100226	100023015772
100227	100023015772
100228	10008320294
100229	100023024242
100230	100023016453
100231	100023546084
100232	100023022301
100233	200001851633
100234	100021047054
100236	100022992335
100240	10008313967
100241	100023015505
100242	100021036932
100243	10008242905
100244	10008313961
100245	100023545808
100246	10008313959
100247	10008313959
100248	10008316319
100249	10008316319
100250	100021048918
100251	100023156038
100252	100021022474
100253	100023159140
100254	100021068968
100255	100021040735
100256	100023007810
100257	100023157631
100258	100021055647
100259	100023186921
100260	100021026086
100261	100023002674
100265	100023020640
100266	100021035230
100267	100023161573
100268	100023135547
100269	100023018342
100273	100023020640
100274	100021050728
100275	100023157753
100278	100023001701
100279	100021033608
100281	100023015579
100282	10008229436
100283	10008337936
100284	100023020882
100285	100023020878
100287	10008313958
100290	100023155932
100291	100023156020
100292	100023155932
100293	100023156020
100294	10008301054
100296	10008313948
100297	100023155943
100298	100023158226
100299	100023156178
100300	100023157951
100302	100023157765
100303	6152826
100308	100023005480
100311	10008336524
100312	10008336523
100313	34136916
100315	34019163
100316	34115968
100317	34061517
100318	34050392
100320	34138531
100321	34034762
100322	34061918
100323	34020822
100324	34120927
100325	34128636
100326	34121787
100328	34006524
100329	34071880
100330	34118525
100331	34020889
100332	34066787
100333	34036703
100334	34024617
100335	34004371
100336	34068336
100337	34026012
100338	34054651
100339	34119083
100340	34124289
100341	34123057
100343	34012145
100344	34107348
100345	34130857
100346	34013730
100347	34050394
100348	34030459
100349	34120103
100350	34119478
100351	34030291
100352	34136578
100353	34117416
100354	34124292
100355	34019162
100357	34055742
100358	34046171
100359	34014195
100360	34109091
100361	34063756
100362	34020040
100363	34027236
100364	34068392
100365	34069887
100366	34026608
100367	10070709795
100368	34028128
100369	34004726
100370	34004704
100371	34135892
100372	34041166
100373	34006775
100374	34107339
100375	34065625
100378	34014890
100380	100081273361
100381	34138527
100382	34016295
100383	34148878
100384	5300049489
100385	5300092141
100386	5300091556
100387	10090262925
100388	10090549050
100390	5300090365
100391	10090262925
100392	5300011665
100394	5300034341
100395	10090262925
100397	5300010220
100398	5300016082
100399	5300016082
100401	5300092138
100402	5300003788
100403	5300089309
100405	5300035489
100406	5300029359
100407	5300067217
100408	10012791545
100411	5300055557
100412	10090550118
100413	10090550118
100415	5300064691
100416	5300061179
100417	5300061179
100418	5300070895
100420	5300056034
100421	5300056034
100422	5300011665
100423	5300080316
100424	5300080316
100425	5300090365
100426	5300038741
100427	5300080908
100428	5300054169
100429	5300034341
100430	5300026902
100431	5300045011
100432	10091003618
100433	10091005724
100434	10023219489
100435	5300051828
100436	5300001834
100437	5300035139
100438	5300028964
100439	5300072080
100440	5300023103
100441	5300046468
100442	10008977842
100443	5300076870
100444	5300089095
100445	10023215180
100446	5300034261
100447	5300022998
100448	5300060949
100449	5300068460
100450	5300091370
100451	5300010702
100452	10023219076
100453	5300047194
100454	10023219013
100455	5300043848
100456	10090549217
100457	5300078354
100458	5300025018
100459	10012787897
100460	5300029131
100461	5300036480
100462	5300026651
100463	200000071092
100466	10008304610
100467	10090548161
100469	10090549897
100470	5300030657
100472	217106061
100473	217032756
100474	217033861
100475	217106061
100476	217032756
100477	217125336
100478	217125511
100479	217125516
100481	217125429
100482	217125480
100485	217063368
100486	217120516
100487	217077267
100488	217081711
100489	217014914
100490	217076472
100491	217008260
100492	217120632
100493	217025972
100494	217087230
100495	217067493
100496	217107976
100497	217043077
100498	217090436
100499	217026932
100500	217033428
100501	217122637
100502	217009720
100503	217080195
100504	217016194
100505	217080199
100507	217073357
100508	217071393
100509	34041254
100510	217039250
100512	217072677
100514	217117885
100515	217113893
100516	217092548
100518	217036036
100519	217065813
100521	217068696
100522	217113790
100527	34061918
100528	33034812
100530	100023585687
100531	217065847
100533	217068640
100534	217019364
100535	217033836
100537	217106625
100538	217086526
100539	217016773
100540	217106306
100541	100023466237
100542	217045335
100543	10033541645
100545	217122777
100547	217072677
100548	100062276958
100549	217104439
100550	200000487475
100551	100023571589
100552	100023231094
100553	100023364856
100554	100023573046
100555	200000484088
100556	100023570718
100557	100023365455
100558	100023365455
100560	200000454983
100561	100023386954
100562	100023571589
100564	100023319950
100566	200000480653
100567	200000467195
100568	200000459612
100569	200000459612
100570	200000466729
100571	200000466729
100572	200000524753
100573	100023225523
100574	100023571778
100575	10000444683
100576	10000444683
100577	100023246994
100578	200000524677
100579	200000485007
100580	200000485007
100582	100023389736
100583	100023389736
100584	100023354215
100585	100023318311
100586	100023572915
100587	10000445340
100588	100023230109
100589	100023231301
100590	100023320010
100591	100023384015
100592	100023571403
100593	200000460906
100594	10091118097
100595	10091118097
100596	10000445340
100597	100023266752
100598	200000470294
100599	100023365037
100600	200000472804
100601	100023571403
100602	200000486942
100603	200000472804
100604	200000465708
100607	100023387986
100608	100023352500
100609	200000477868
100610	100023571219
100611	200000458065
100612	200000485617
100613	200000467628
100614	200003496802
100615	100023387986
100616	200000477932
100617	100023320541
100618	200000471131
100619	200000465663
100620	200000466313
100621	200000461539
100622	200000485274
100623	200000469562
100624	200000460903
100626	200000524408
100627	200000470196
100628	200000453941
100629	100023230064
100630	200000484584
100631	200000483857
100632	200000476614
100633	200000456798
100634	100023386255
100635	100023385680
100636	200000460648
100637	200000453941
100638	200000454981
100639	100023572074
100640	200000468068
100641	100023351628
100642	100023226882
100643	200000485007
100644	200000484202
100645	100023572939
100648	100023317281
100650	200003440890
100651	200000483857
100652	200000484088
100654	100023389621
100659	200000462853
100662	200000484088
100663	100021832485
100667	100023282078
100668	100023272214
100671	10023226960
100672	100023278134
100673	100023232051
100674	10023232145
100675	100023238480
100676	100023232060
100677	100023253312
100678	10023226831
100679	100022889917
100680	100023237856
100681	100023278051
100683	10023232149
100684	100023271562
100685	100023281845
100686	100023263624
100687	100023235554
100688	100023278879
100689	100023272228
100690	100023264655
